Mouse ID,ACC Start,ACC End,Striatum Start,Striatum End,DMS Start,DMS End,DLS Start,DLS End
523,2100,2600,0,1200,700,1200,0,500
614,2000,2500,0,1150,650,1150,0,450
624,2000,2700,0,1300,800,1300,300,600
727,2500,3000,1,1800,1300,1800,1,1100
730,2300,3300,1,2100,1600,2100,1,1400
731,2300,3000,0,800,0,300,,
822,1900,2550,0,1650,1150,1650,0,950
823,1700,2500,0,800,300,800,,
1105,1950,2450,0,1450,850,1450,0,650
1106,1700,2400,0,1500,1000,1500,0,800
1201,1950,2450,0,1150,550,1150,0,450
1206,,,0,700,0,700,,
1212,2300,2700,0,1100,500,1100,0,300
409,2360,2600,0,1160,650,1160,0,450
418,2300,2800,0,1100,600,1100,0,400
507,2140,2880,0,1520,1020,1520,0,820
703,1200,2000,0,600,0,600,,